pcm,en
"United doctor Steve McNally say even though say di break don give di players time to recover, dem dey see increase for some kain funny-funny injuries.","United doctor Steve McNally said even though the break has given the players time to recover, there are notable increase in the sort of laughable injuries that have seen "
"Fortunately, most of di boys dey well and we no get any real issues at all,  na wetin di McNally tok for di club official app.","Fornunately, most of the boys are well and we ahve no real issues at all, that was what McNally said on the club's official app"
"Fortunately for us we no get injuries, although we get few unusual complains because dem dey try to cook, or tins like dia dog bite dem, dat kain thing.","Fortunately for us we have no injuries, although we have few unusual complains because they tried to cook, or their dogs bite them, those sort of things."
"Di nutritionist put di boys for one Instagram page wia dem go take cooking lessons, so a lot of dem don start to dey develop new skill-  and one or two of dem don get injury.","The nutritionist put the boys on an instragram page where they will take cooking lessons, so a lot has started to develop new skills- and one or two of them are injured. "
"Even though dem dey away from dia training base for Carrington, Solskjaer's staff still dey monitor di players fitness, weight and nutrition","Even though they are awau from their training base in Carrington, Solskjaer's staff are still monitoring the players fitness, weight and nutrition"
"Bundesliga don set record as di first major league to restart during di coronavirus pandemic and for millions of football fans, di main kweshion na how to watch di matches, live.","Bundesliga has set a record as the first major league to restart during the corona virus pandemic and for millions of football fans, the main question is how to watch the match live."
Two rival clubs Dortmund and Schalke go jam inside one of di six Saturday matches wey dem go play for stadium wey no get fans inside.,Two rival clubs Dortmund and Schalke will play agaisnt eachother in one of the six Saturday matches that will be played at the stadium that has no presence of fans
"If dem win, Dortmund go close reduce to one point di gap wey Bayern dey give dem.","If they win, Dortmund will close the point gaps to one with Bayern as leaders"
"Bayern Munich dey play on Sunday, 17 May.","Bayern Munich is playing on Sunday, 17 May"
"Popular cable satellite broadcaster DsTV, no get right to Bundesliga live matches for di 2019/2020 season so na pipo wey get StarTimes dey in luck because na dem get broadcast rights for Sub-Saharan Africa.","Popular cable satellite broadcaster DsTV, does not have rights to bundesliga live matches for the 2019/2020 season it is those who has StarTimes who has luck because they have broadcast rights for Sub-Sahara Africa"
"In fact, di only kontris for Africa wey StarTimes no cover na Algeria, Morocco, Libya and Tunisia Meanwhile BetWay wey be sports betting website for Nigeria tweet say all dia customers fit watch di matches live ontop dia website.","In fact, the only countries in Africa that StarTimes has no coverage are Algeria, Morocco, Libya and Tunisia Meanwhile BetWay which is a sport betting website in Nigeria tweeted that all their customers can watch the matches live on their website"
Whichever way wey you watch just know say you dey part of one billion pipo wey Bayern CEO Karl-Heinz Rummenigge don gauge say go watch dis weekend live matches See Saturday games.,Whichever way that you watch just know gthat you are part of the one billion people that Bayern CEO Karl-Heinz Rummenigge has guaged as those who will watch the weekend live matches see Satuturday games.
SATURDAY 16TH MAY 2020 B Dortmund    14:30       Schalke Augsburg        14:30       Wolfsburg Düsseldorf       14:30      Paderborn RB Leipzig        14:30      Freiburg Hoffenheim      14:30     Hertha Berlin Frankfurt          17:30      B Mgladbach,SATURDAY 16TH MAY 2020 B Dortmund    14:30       Schalke Augsburg        14:30       Wolfsburg Düsseldorf       14:30      Paderborn RB Leipzig        14:30      Freiburg Hoffenheim      14:30     Hertha Berlin Frankfurt          17:30      B Mgladbach
Two long months don reach now since football fans last see major league match live.,Two long months are gone  since football fans kast saw a major league live match 
"By now, Liverpool suppose don carry cup as di Premier League champions for di first time in dia history, we go don know how di Barcelona and Real Madrid fight to be number 1 take end, and Europe go don ready for Euro 2020.","By now, Liverpool is suppose to have won the cup as the Premier League Chalmpions for the first time in their history, we would have known how the Barcelona and Real Madrid fight to be number 1 ended, and Europe  woulod have been ready for Euro 2020."
If no be for di break wey Coronavirus cause.,If not for the break that was caused by corona virus 
"But tins don dey pick up across Europe now, as kontris don decide to find way to finish di season of dia top divisions, although e go come with conditions.","But this thing is picking up across Europe now, as the country has decided to find ways to finish the season of their top divisions, although it will come with conditions"
"Make we torchlight who don ready, when dem go restart and di conditions wey dey ground.","We should investigate who is ready, when they would restart and the conditions which are on ground "
"Germany top football league - Bundesliga - don confam say football action go return on 16 May, as dem go become di first major football league to restart afta di coronavirus lockdown.","Germany top football league - Bundesliga - has confirmed that footbal actions will return on 16 May, as they would become the first major football league to restart after the corona virus lockdown "
Di kontri Chancellor Angela Merkel say di goment bin approve di plan although restrictions go dey.,The country chancellor Angela Merkel said the government have approved the plan although there will be restrictions 
"Conditions Di Premier League, wey be di league wey football fans dey watch pass for di world no go resume anytime before 1 June, afta di British goment on Monday comot to say no sport event fit hold in di kontri before dis date.","Conditions the Premier League, which is the league that football fans watches most in the world will not resume before 1 June, after the British Governmrnt on Monday came out on Monday to announce that no sport event will hold in the country  before the date."
Conditions Spain top league and working place of Lionel Messi dey torchlight June 12 as di date when dem go resume di season.,Conditions Spain top league and working place of Lionel Messi are investigating June 12 as the datew they will resume the season
"Conditions Di french league bin cancel dia current season for April, say whichever position club dey for table, na final.","Conditions The French League has cancelled their current season for April, said whatever positions clubs are on the table are final. "
Dis don vex some clubs wey dey bottom and di mata don even turn to court mata.,This has made some clubs at the bottom of the table angry and the issue has tured to a court case. 
Italy never decide how dem go do dia own top league but some clubs don return to training.,Italy has not decided how it would do their top league but some clubs have retured to training. 
So maybe dem go soon announce dia own date.,Some would soon announcxe their date
"Game of Thrones actor, Hafthor Bjornsson don set world deadlifting record as im lift 501kg (1,104lb).","Game of Thrones actor, Hafthor Bjornsson has set a world deadlifting record as he lifted 501kg (1,104lb)"
"Bjornsson, wey be powerlifter play di role of Ser Gregor Di Mountain Clegane for di HBO series, break di record for Im own gym for Im hometown, Iceland.","Bjornsson, who is a powerlifter played the role of Ser Gregor The Mountain Clegane for the HBO series, breaking his record for his gym in his hometown, Iceland"
"He lift di barbell for two seconds, before im drop drop di weights.",He lifted the barbell for two seconds before he dropped the weights
Na sports broadcaster ESPN stream di event and dem film am for  Bjornsson's YouTube channel.,It was sports broadcaster ESPN that streamed the event and they filmed him for Bjornsson's YouTube channel 
"Bjornsson, wey be  2.05m tall (6ft 9in), bin win di World Strongest Man competition for 2018.","Bjornsson, who is 2.05m tall (6ft 9in), won the World Strongest Man comtetition for 2018"
"As im dey tok for di behind-di-scenes video wey Im post for YouTube, Bjornsson say: I dey extremely proud, you know.","As he was speaking at the behind-the-scene video whch he posted on YouTube, Bjornsson says: I am extremely proud, you know. "
I dey extremely happy.,I am extremely proud
E dey great - nothing better pass make you prove pipo wrong.,It is great - nothing is better than proving people wrong
"so many pipo don tok say, '501kg no go ever go up'...","so many people said, '501kg can never go up'..."
But I also get plenti support.,But I also got plenty support
"He add am: I feel healthy, I feel good.","He added: I fell healthy, I feel good."
"I just dey speechless, even though I dey talk too much now, But I dey happy-Dis na big deal for me Na Eddie Hall, one British man who become di first","I am speechless, even if I talk too much, but I am happy - This is a big deal for me it is Eddie Hall, a British man who became the first"
Manchester United and Nigerian striker Odion Ighalo dey among di richest players wey dey 30 years and below.,Manchester United and Nigerian striker Odion Ighalo is amongst the richest players who are 30 years and below
Ighalo wey join United on loan from China club Shanghai Shenhua dey 15th for di 2020 Sunday Times Rich List.,Ighalo who joins United on loan from the Chinese club Shanghai Shenhua is 15th on the 2020 Sunday Times Rich List
Di Nigerian wey go turn 31 for June na di only African player wey make di list as im dey valued at £18m.,The Nigerian who will turn 31 in June is the only African player that made the list as he is being valued at  £18m.
Nigerian born British boxer Anthony Joshua dey number two position for di list and im be di only pesin wey no dey play football wey make di list.,Nigerian born British boxer Anthony Joshua is on the number two position on the list and he is the only person who is not playing footbal who made the list
Joshua worth £107m according to Sunday Times and e make majority of im money from di two fights against Andy Ruiz Jnr.,Joshua is worth £107m according to Sunday Times and he made most of his money from the two fights against Andy Ruiz Jnr. 
"Top of di list of sports stars wey dey 30 years and below na Real Madrid player, Gareth Bale, wey dey valued at £114m.","Top of the list of sports stars who are 30 years and below is Real Madrid's player, Gareth Bale, who is valued at £114m."
"Aside Ighalo, four other Manchester United players including: Paul Pogba, Davide de Gea, Anthony Martial and Luke Shaw make di 18-man list.","Asides Ighalo, four other Manchester United players including: Paul Pogba, Davide de Gea, Anthony Martial and Luke Shaw made the 18-man list."
"Di Ligue 1 and Ligue 2 seasons no go resume afta France don ban all sporting events, plus di one wey dem wan do behind closed doors, until September.","The Ligue 1 and Ligue 2 seasons will not resume after France banned all sporting event, including the ones to be done behind close doors, until September"
Prime Minister Edouard Philippe tok say di 2019-20 sporting season don dey over as im announce plans to ease France coronavirus lockdown on 11 May.,Prime Minister Edouard Philippe said the 2019-20 sport season is over as he announced plans to ease France corona virus lockdown on 11 May
French football goment join-bodi bin dey hope to resume di season on 17 June and finish di campaign on 25 July.,The Association of French Football is hoping to resume the season on 17 June and finish the campaign on the 25 of July
Dem bin suspend football unti further notice for France on 13 March.,They have suspended football until further notice in France on 13 of March
We neva know weda Ligue de Football Professional (LFP) go choose to abandon di season without promotion or relegation and no champions or dem go base di outcome of di campaign on current standings.,We do not know if Ligue de football Professional (LFP) will choose to abandon the season without promotion or relegation and no champion or if the outcome will be based on the campaign of current standing.
"Defending champions Paris St-Germain dey 12 points clear of Marseille for di top of Ligue 1, wit 10 rounds of matches and one outstanding fixture wey remain to play.","Defending champion Paris St-Germain is 12 points ahead of Marseille on top of Ligue 1, with 10 matches and one outstanding fixture remaining to be played."
"Toulouse dey bottom of di table, 17 points from safety, and 10 points behind Amiens.","Toulouse is at the bottom of the table, 17 points from safety, and 10 points behind Amiens"
"Nimes na  18th and dem dey relegation play-off spot, three points behind St Etienne  wey dey 17th position.","Nimes is 18th and they are on the relegation play-off spot, three points behind St Etienne which is on the 17th position"
"Di top five sides for Ligue 2 dey separated by just four points, with Lorient and Lens currently dey occupy di automatic promotion spots.","The top five sides in Ligue 2 are seperated by just four points, with Lorient and Lens currently occupying the automatic promotion spots "
Di LFP bin meet 10 of April and dem vote to resume di Ligue 1 season.,The LFP met on the 10 of April and they voted to resume Ligue 1 season
"However, Philippe tok say: Di 2019-20 season of professional sports, including football, no go fit resume.","However, Philippe said: The 2019-20 season of professional sports, including football, can not resume"
"E go dey possible, on sunny days, to practice individual sporting activity outdoors, as dem go respect di rules of social distancing.","It will be possible, on sunny days, to practise individual sporting activity outdoors, as rule of social distancing is respected. "
"E no go dey possible, whether to practice sport for covered places, nor team or contact sports.","It will not be possible, whether to practise sport in covered places, nor team or contact sport "
European leagues get until 25 May to tell European football goment join-bodi Uefa weda dem wan complete or cancel dia seasons.,European teams have until 25th of May to tell the Association of European Football Governing Body UEFA whether they would want to complete or cancel their seasons
"Dem abandon di Dutch top flight on Friday wit no promotion or relegation and no champions, and on Monday Belgian clubs postpone di vote to confam weda dem go cancel dia top flight till next week.","The Ducth top fligyt was abandoned on Friday with no promotion o0r relegation and no champions, and on Monday Belgian Clubs postponed the voting to confirm if they would cancle their top flights till next week."
Di head of di Dutch FA tell BBC Sport say im tink say e dey very doubtful say Premier League go fit complete di 2019-20 campaign.,The Head of the Dutch 
Uefa don tok say dem go use on-field performance to determine which clubs go make up  di next season European club competitions.,UEFA has it will use on-field performance to determine which club will make up the next season's European club competitions
"If dem no fit finish, e mean say national associations go need select di clubs to qualify for Europe.","If they can not finish, it means the national association will need to select the clubs to qualify for Europe"
"Na 30 match balls, each of dem, ball boys go disinfect am and keep for special spots rather than handing am over to players.","It is 30 match football, each of them, ball boys will disinfect it and keep special spots rather than handing it over to players "
Dis na one of di many tins wey go change for football reality sake of Coronavirus.,This is one of the many things that will change for the football reality sake of corona virus
German Bundesliga action go continue on Sunday as league leaders Bayern Munich face Union Berlin later.,German Bundesliga action will continue on Sunday as league leaders Bayern Munich faces Union Berlin later.
But di first match go be Köln vs Mainz by 2:30pm Sunday.,But the first match will be Köln vs Mainz by 2:30pm Sunday.
"And like Saturday, clubs fit substitute pass 3 players up to 5 maximum - anoda changes to di round leather game.","And like Saturday, clubs can substitute more than 3 players up to maximum of 5 - this is another chnage to the round leather game"
Substitutes all sidon for dia lane wit enof space from each oda and wear masks.,Substituites were sitted in their lane with enough space from each other and wore mask.
Dis screen inside di stadium for RB Leipzig tell pipo to wash dia hands.,This screen in the stadium for RB Leipzig tells people to wash their hands.
"Add to empty stadium, some goals na social-distancing alias dey your lane dem use celebrate.","Add to empty stadium, some goals are social distancing, that is be on your own celebrations."
"On Saturday, Borussia Dortmund players run to go celebrate in front of di empty South Bank RB Leipzig striker Yussuf Poulsen na from a safe distance fit stay interview am sake of corona.","On Saturday, Borussia Dortmund players ran to celebrate in front of the empty South Bank RB Leipzig striker Yussuf Poulsen it was from a safe distance he was interviewed for the sake of corona"
Police make sure say fans no gada outside.,Police ensured fans were not gathered outside
Uefa don call emergency meeting for Tuesday wia dem go discuss di possibility of postponing Euro 2020 by one year.,UEFA has called emergency meeting for Tuesday where possibility of postponing Euro 2020 by ine year will be discussed.
European football governing body go hold video conference meetings to discuss dia response to di coronavirus outbreak.,European Football Governing Body will hold a video conference meeting to discuss their response to the corona virus outbreak
"Discussions go cover all domestic and European competitions, including Euro 2020.","Discussions will cover all domestic and European competitions, including Euro 2020"
Euro 2020 suppose take place from 12 June-12 July for venues all ova Europe.,Euro 2020 is suppsoed to take place from 12 June - 12 July at venues all over Europe
"Uefa don invite representatives of dia 55 member associations, plus di boards of di European Club Association, di European leagues and representative of world player union Fifpro.","UEFA has invited representatives of their 55 members association, including the boards of the European Club Association, the European Leagues and representatives of world player union FifPro"
"Meanwhile, dem don postpone di second leg of Manchester City last-16 second leg Champions League tie against Real Madrid, wey dem wan play on Tuesday 17 March.","Meanwhile, they have postponed the second leg of Machester City last-16 Champions League tie against Real Madrid, that was to be played on Tuesday 17 March"
La Liga don also suspend dia league for at least di next two rounds of matches sake of say dem quarantine Real Madrid squad because of coronavirus.,LaLiga has also suspended their league for at least the next two rounds of matches for the sake of the quarantined members of the Rea Madrid's squad because of corona virus 
"In addition, Danish Football Association don cancel all football activities for di kontri for two weeks while di Netherlands' Eredivisie don dey suspended until 31 March.","In addition, Danish Football Association has cancelled all football activities in the country for two weeks whle the Netherlands Eredivisie has been suspended until 31 March"
"For Italy, Serie A dey suspended until 3 April, and di kontri dey on lockdown.","In Italy, Serie A has been suspended until 3 April, and the country is on lockdown."
Two players - Juventus' Daniele Rugani and Sampdoria's Manolo Gabbiadini - test positive to coronavirus.,Two players - Juventus' Daniele Rugani and Sampdoria's Manolo Gabbiadini - tested positive to coronavirus.
Football fans dey use Liverpool do yeye for social media with funny-funny comments and memes afta dem crash out for Champions League on Wednesday.,Football fans are using Liverpool to banter on social media with hilarious comments and memes after they were out of the Champions League on Wednesday
Liverpool wey be di defending champions lose 3-2 to Atletico Madrid for Anfield and 4-2 on aggregate for dia round of 16 second leg match.,Liverpool that was the defending champion lost 3-2 to Atletico Madrid at Anfield and 4-2 on aggregate in their round of 16 second leg match. 
Di first leg wey dem play for Atletico house for Spain end 1-0.,The first leg that was played at Atletico's stadium in Spain ended 1-0
"Jurgen Klopp team start di second leg well, dem put di Spanish team under pressure for di first 90 minutes of di match and di pressure pay off  with goal from Georginio Wijnaldum for first-half.","Jurgen Klopp's team started the second leg well, putting the Spanish team under presure in the first 90 minutes of the match and the pressure pays off with a goal from Georginio Wijnaldum in the first-half."
For extra time Roberto Firmino score to make am 2-0 but di lead no last long.,During the extra time Roberto Firmino scored to make it 2-0 but the lead did not last long
Two quick goals from Atletico substitute Marcos Llorente change di game before Alvaro Morata score for injury time to add insult to injury to send im team to di last eight of di competition.,"Two quick goals from Atletico's sunstitute Marcos Llorente changed the game before Alvaro Morata scored in injury time, adding insult to injury sending his team to the last eight of the competition."
Many football fans no waste time to yab Liverpool wey don win dis competition six times for social media.,Many football fans wasted no time to abuse Liverpool that has won the competition six times on the social media
"See some of di funny memes and comments Di Reds go now focus dia attention on winning di Premier League title, dem dey gap second position Manchester City with 25 points with nine games to go.","See some of the funy memes and the comments The Reds will now focus theor attention to winning the Premier League title, they are leading second position Machester City with 25 points with nine games to go. "
Already dis season dem don win di Uefa Super Cup and di Club World Cup title.,Already this season they have won the UEFA Super Cup and the Club World Cup titles.
"Di organisers of di Tokyo 2020 Olympic Games, wey suppose start on 24 July, don agree to postpone di event for one year sake of di coronavirus.","The organisers of the Tokyo 2020 Olympic Games, which is meant to start on 24 July, has agreed to postpone the event for one year beacause of corona virus "
Japan's Prime Minister Shinzo Abe say di International Olympic Committee don agree to di delay.,Japan's Prime Minister Shinzo Abe  says the International Olympic Committee has agreed to the delay
"I proposed to postpone for one year and [IOC] president Thomas Bach don give 100% support, Im tok.","I proposed to postpone for a year and [IOC] president Thomas Bash has given 100% support, he said."
Di one-year delay go also apply to di Tokyo Paralympic Games.,The one year delay also applies to th Tokyo Paralympics Games
"Prime Minister Abe add: Dis go make am possible for athletes to play in di best condition, and will make di event a safe and secure place for spectators.","Prime Minister Abe added: This will make it possible for athletes to play in the best condition, and will make the event a safe and secure place for spectators."
Di agreement come as di British Olympic Association (BOA) dey meet for Tuesday to discuss di matter.,The agreement came as the British Olympic Association (BOA) met on Tuesday to discuss the matter
BOA chairman Hugh Robertson don already say Great Britain dey unlikely to send team to Tokyo for dis summer.,BOA chairman Hugh Robertson has already said Great Britain is unlikely to send teams to Tokyo for this summer.
Nigeria Football Federation and di League Management Company dey mourn di death of Nasarawa United defender Chineme Martins wey die during dia league match against Katsina United for Lafia on Sunday.,Nigeria Football Federation and the League Management Company mourns the death of Nasarawa United defender Chineme Martins who died during their league match against Katsina United in Lafia on Sunday.
"For inside statement LMC chairman, Shehu Dikko, tell di late player family and im club sorry.","In the statement LMC chairman made, Shehu Dikko, send his condolences to the player's family and club"
Im add say LMC expect to get standard autopsy to find out di cause of di player death.,He added that LMC expects to get a standard autopsy to find out the cause of the player's death
Di Nigeria football federation say dem dey sad about di player death.,The Nigeria Football Federation said they are sad about the death of the player.
"Tori be say Martins collapse for inside di 43 minute of di match and medical officers from di two clubs attend to am for pitch before dem rush am go Dalhatu Araf Specialist Hospital, Lafia wia dem confam say im don die.","The story is that Martins collapsed in the 43 minutes of the match and the medical officers from the two clubs attended to him on the pitch before he was rushed to the Dalhatu Araf Specialist Hospital, Lafia where it was confirmed that he has died."
"Nasarawa United go on to win di match 3-0, Chinedum Ohanachom score hat trick for di game.","Nasarawa United won the match 3-0, Chinedum Ohanachom scored hat trick in the game."
Di result mean say dem dey 13 position for table with 28 points.,The result meant that they are in 13 position on the table with 28 points 
Nigeria international striker Ifeanyi George don die for motor accident at di age of 26.,Nigeria international striker Ifeanyi George has died in a motor accident at the age of 26.
"George, wey get two caps for di Super Eagles, dey involved for one accident wey happun for Benin-Agbor road wen im dey travel to Lagos on Sunday morning.","George, who has two caps for the Super Eagles, was involved in an accident that happened at Benin-Agbor road when he was travelling to Lagos on Sunday morning."
"Two oda passengers dey inside di 26-year-old striker car - anoda player from George club side Enugu Rangers FC, and dia friend.","Two other passengers who were inside the 26-year-old striker car - another player from George club side Enugu Rangers FC, and their friend."
Dem don confam di condition of both of dem.,The conditions of both of them have been confirmed.
"Di players bin dey travel from Enugu, east of di kontri to Lagos, south west of di kontri sake of di break wey dem get for di Nigerian league on Friday 20 March, 2020 sake of coronavirus pandemic.","The players were trevelling from Enugu, East of the country to Lagos, South West of the country taking advantage of the break in the Nigerian League on Friday 20, 2020 because of corona virus"
"British-Nigeria heavyweight, Anthony Joshua fight against Bulgaria Kubrat Pulev to defend im IBF, WBA, WBO and IBO world titles don march break till further notice.","British-Nigeria heavyweight, Anthony Joshua fight against Bulgaria Kubrat Pulev to defend his IBF, WBA, WBO and IBO world titles is on hold till further notice."
"Di fight bin suppose hold for Tottenham Hotspur Stadium on Saturday, 20 June.","The fight was supposed to hold at the Tottenham Hotspur Stadium on Saturday, 20 June."
Dem bin postpone di fight on top di coronavirus palava for world.,The fight was postponed because of corona virus issues in the world.
Dis dey come from statement from Joshua promoter Matchroom Boxing wey tok say dem dey work on new date for di fight.,This statement came from Joshua's promoter Matchroom Boxing who said they are working on a new date for the fight
Joshua neva fight since December wen im win di fight against Andy Ruiz Jr for Saudi Arabia to collect back im belts wey di Mexican-American bin collect for New York wen dem first fight for June 2019.,Joshua has not fought since December when he won the fight against Andy Ruiz Jr in Saudi Arabia to collect back his belts that the Mexican-American collected in New York then they first fought in June 2019.
Pulev na compulsory fight for Joshua IBF belt.,Pulev is a compulsory fight for Joshua's IBF belt
Im bin suppose fight Joshua for October 2017 but n fit do am because of sholder injury.,He was supposed to fight Joshua in October 2017 but he could not because of sholder injury
Di British Boxing Board of Control bin suspend all di fights under them until di end of May ontop di coronavirus.,The British Boxing Board of Control have suspended all the fights under them until the end of May because of corona virus
"Di President of Gabon football federation Pierre Alain Mounguengui, don advise Pierre-Emmerick Aubamayeng to comot Arsenal because im no go win anything dia.","The President of Gabon Football Federation Pierre Alain Mounguengui, has advised Pierre-Emmerick Aubamayeng to leave Arsenal because he will not win anything there."
"Aubamayeng wey be Arsenal captain don build reputation as one of di world ogbonge forwards since im join from Borussia Dortmund for January 2018, and im next Premier League goal go be im 50th for di competition.","Aubamayeng who is Arsenal's captain has built reputation as one of the world's best forwards since he joined from Borussia Dortmund in January 2018, and his next Premier League goals will be his 50th in the competition."
"But e never fit help di Gunners to win anything during im time for the club, except for runners-up medals for Carabao Cup and Europa League.","But he can not help the Gunners to win anything during his time at the club, except for runner-up medals at Carabao Cup and Europa League"
"I no wan say Arsenal no dey ginger, but Arsenal no get ambitions wey high as some oda clubs as far as Europe dey concerned, President Mounguengui tell ESPN.","I do not want to say Arsenal has no motivation, but Arsenal has no ambitions that is as high as some of the other clubs as far as  Europe is concerned, President Mounguengui tells ESPN."
"So, if Pierre fit get contract with anoda club wey dey more ambitious club, he go definitely find im place dia.","So, if Pierre can get contract with other clubs that are more ambitious, he will definitely find his place there."
"On individual level, all of us sabi say im dey among di best players for di world.","On individual level, we all know that he is among the best players in the world."
But the advice I give am na to continue to work and to attract di attention of di biggest clubs and di most ambitious clubs.,But the advice I gave him is to continue to work and to attract the attention of the biggest clubs and the most ambitious clubs.
"No be only Mounguengui get dis belief, - even Arsenal legend Ian Wright tok say Aubameyang fit dey play at a higher level.","It is not only Mounguengui who has this belief, - even Arsenal legend Ian Wright said Aubameyang can play at a higher level."
"Wright tell Premier League Productions: If you fit imagine am in a better team, he go dey be win Premier Leagues and dey ginger for place forChampions League finals and I think say im deserve am You no dey see am dey shout for pitch, [no] dey point and scream, but na wetin im dey do in respect of im leadership with di goals wey im dey score.","Wright tells Premier League Productions: If you can imagine him in a better team, he would win Premier Leagues and will ginger for place in Champions League finals and I think that he deserve it. You do not see him shout on the pitch, [no] pointing and screams, but it is what he does in respect of his leadership with the goals that he scores."
If you comot di goals out of dat team dendem dey for correct trouble.,If you removed the goals away from the team they will be in serious trouble
Im tok.,He said
Everton boss Carlo Ancelotti don tok say e go be emotional moment for am as e dey face Chelsea today for Stamford Bridge.,Everton's boss Carlo Ancelotti has said it will be an emotional moment for him as he will face Chelsea today at Stamford Bridge.
"Di Italian spend two seasons for Chelsea, wia im win di Premier League and FA Cup Double in 2009-10.","The Italian spent two seasons at chelsea, where he won the Premier League and FA Cup double in 2009-10"
Dem sack am afta e finish second for di league in 2010-11.,He was sacked after he finished second in the league in 2010-11
"Today game go pit Ancelotti against Chelsea manager Frank Lampard, who play under the 60-year-old man when e dey Stamford Bridge.","Today's game will pit Ancelotti against Chelsea manager Frank Lampard, who played under the 60-year-old man when he was at Stamford Bridge."
Oga Ancelotti neva face Chelsea wey im manage between 2009 and 2011 before.,Boss Ancelotti has never faced Chelsea which he managed between 2009 and 2011 before.
"Since Ancelotti first game on Boxing Day as Everton oga, only Liverpool (30) and Manchester City (19) don win more Premier League points.","Since Ancelotti first game on Boxing Day as Everton boss, only Liverpool (30) and Manchester City (19) has won more Premier League points."
Everton don score in all 10 of dia league games under the Italian - di current longest scoring run for di division.,Everton has scored in all 10 of their league games under the Italian - The current longest scoring run in the division.
Israel Adesanya na still di middleweight champion afta e defeat Yoel Romero for fight wey many dey say e no sweet.,Israel Adesanya is still the middleweight champion after he defeated Yoel Romero in the fight that many said was not interesting.
"For di UFC 248 event, di two fighters wey dey undefeated before dis match bin dey hope to go back house with di middleweight belt.","At the UFC 248 event, the two fighters who are undefeated before this match hoped to go back house with the middleweight belt."
"By unanimous decision by di judges declare say na di Nigerian-born Israel, na im fight pass on di night.","By unanimous decision, the judges declared that the Nigerian-born Israel, won the fight pass on the night."
"Afta round 5 di judges drop scores of 49-46, 48-47, 48-47 wey make Romero para and later complain about.","After the 5th round the judges dropped their scores of 49-46, 48-47, 48-47 which made Romero angry and later complained about."
"Di fight wey many sabi pipo say no two sweet to watch, bin happun for di T-Mobile Arena for Las Vegas, American early mor mor on Sunday.","The fight that many professional people said was not too interesting to watch, happened at the T-Mobile Arena in Las Vegas, early in the morning on Sunday."
"Israel Adesanya wey im nickname na Stylebender, dey represent New Zealand wey be di kontri im parents migrate to.","Israel Adesanya whose nickname is Stylebender, represents New Zealand which is the country his parents migrated to."
British world champion Anthony Joshua go fight Kubrat Pulev for Tottenham Hotspur Stadium on Saturday 20 June.,British world champion Anthony Joshua will fight Kubrat Pulev at Tottenham Hotspur Stadium on Saturday 20 June.
